id,user_id,event_id,table_number
10,YnqzTBwMcFPZIZgxilPeVVSZQWN2,4,
11,0NKTzLhdlKQaLpetaYS5KqKNt2e2,4,
12,dZtoVqSYFlVOGaC5uO26wKTEIHn2,4,
13,a0qF436mgXPGArB23AD56eCA4CM2,4,
14,iu8ZmGxetoXH3daGRt2J9dxVAAj2,4,
15,lSPkGPAZGQPhja5DXYclYhpocqx2,4,
16,hJWKWozrt6ZZS4q6PCW68vHvPHx2,4,
17,N2QikIhXWyaoVSkD22KSatymXry1,4,
18,GD1gM3nQi0QKEukab2PNEQO2gvF2,4,
19,0IEcaKRjwJbV4BnhKRIEOET1ADZ2,4,
21,HWZjxzL9fZUgefNdc4VXfrR0Ysk1,4,
22,CJCvbZ4JJIYq3NhoTcpstQ3lf8N2,4,
23,4dgAayjJ3nXEBJFBqI6Xz9q5da92,4,
24,nm1rCrCUyHdnN48i2f2JcWplRyX2,4,
26,PgiOt5izT1SLQSuOVAT0zWH0nmS2,4,
27,BaxfCZTZEOQC85PLbE5CvGkMCS82,4,
28,94nqkaTOKacs0OoJ9XfabdKySBx1,4,
29,xcJkqDNpKwcjiHIN12i0FptqeMp2,4,
30,mdNniVvvxPcH4o5iDkRo6Bjz7yC2,4,
31,aj9ADtjSjzQyBiMZkPURPdAHL6D3,4,
32,CKtfsy6l2qSI1Z4M44anqEtlniC2,4,
41,vUijPbxUTXO06GGYUnwjdhLDd6y2,5,8
48,jFlPPr40FxNrwetm4LNWpUOaITu2,5,
49,nWGxKT1BbDVXeWjQAWLWWq2v8vl2,5,
58,EZn2THNa79THdeRED79FR26prB02,5,1
54,FfVDOrYr1JNBUuxffeJP7PcU7bK2,5,1
53,YOgQR8MorVMhj8JyTnyesCTsX2p1,5,2
55,ONJRJY1OXPasRuIxK6OOfPq1Wpq1,5,3
46,4v7dDqwFGaSegNX88AplnQU5l422,5,4
45,HxvlgMsyxKfBvUEZ9mXSJuqeEJk2,5,5
59,ykdGhZsMI4N03O5WqkpI5OtPbRz1,5,6
44,oMT1oid0sfUPh9QRJAsfasDfMUB2,5,2
57,U4B8nsMULJN9acuTnVyhDWmOBOR2,5,3
50,YlBLJdO7ugZgaOAE75TnJ8du3Ky1,5,7
61,49Oh7AtwZPfQB8VpPH0UVXvqAET2,5,4
62,zCar7clWYjPfxQozMZRsIeqgHCE3,5,5
52,JfQ7X20S2mMJymKIsEtCQDdnERi1,5,6
51,vMoBJijyjkZwUJGzjqtZydhWxDl2,5,7
47,5p4G4TD0ZqbGXBvrBWsV6hDzsD02,5,8
43,1ykO3vaeSKbeu3BdsKMm0NtmFgr1,5,9
60,B0a6x5Us2JQ5vt8DfPrvPuboGBt2,5,10
67,YlBLJdO7ugZgaOAE75TnJ8du3Ky1,7,1
63,U5Nw32MZaWb21uMMHVuNF5SvJhx1,7,1
68,6iTUMDHtyqYAIKpW8PyQL3gY6PK2,7,2
72,eNxBX3gOQHabCGYtNMLwsdltwAv1,7,3
66,NJ6NSJzR4fO8exsHCdWfk6Tl0wr2,7,4
70,ShqXTlUnDGfaoE9I2ZrjltGSU5p1,7,2
77,sBPpmQecdWZ1MU9vxK7YJAoznti1,7,5
78,1d7mKcVFine3wmYNsc7TPwlsUBY2,7,3
75,1v5CySI4hCN9cgmHUJLYa3jEQry1,7,6
