id,user_id,event_id,star_rating
34,77dFxQvHbzOdMy8wPKT40IjZVBT2,11,3
36,6Nnv3zsuuNdFSkBw5TtwHAr8BSD3,11,5
38,BPdq6i1cMVgUO1u9XZ0abzDsCva2,11,3
39,Q9msSTVap4ZzEtwdAcNWfWCBz5f2,11,5
40,lWZCRlYZV5a5NU7swEyqxCOXllF3,11,5
9,Q9msSTVap4ZzEtwdAcNWfWCBz5f2,8,4
11,eEsYDhcn2YgMdJUE8dXGFd46GXu1,8,5
12,1CAwkpl31MYYvntQerw1MH15m3f2,8,4
13,MMVcWH76zQc3FfECUKbPuSa2rsG3,8,2
15,46F7NjNuCIhKhb1NByJkdyuUIKA2,8,4
18,DckvI4BLz8MUkNTOiG7ceJNx2W73,8,3
21,YlBLJdO7ugZgaOAE75TnJ8du3Ky1,9,5
23,mm91WiiPj6YIaUokadUayOsCn8C2,9,5
25,XGJ89eUPW6Vem95uMZm5Lq2Z6Ol2,9,5
27,G51RGat6WbOYxeiLHvTLtIdiJG62,9,3
30,W0Qhr15OwWXmb259CGgk3O725mM2,9,3
32,JOdspCCqeDeCxoCdAIfo78dl1Ep2,9,4
41,1CAwkpl31MYYvntQerw1MH15m3f2,11,4
44,xwHMBdm7NKSiKyPGErk5umUJRnG2,11,5
49,v91zS3yORPS7ylmrOIGxw7ezwon1,11,1
53,GD1gM3nQi0QKEukab2PNEQO2gvF2,4,4
155,CJTUw879EoWZ2vUVNkwEd76bYxm1,20,3
62,zCar7clWYjPfxQozMZRsIeqgHCE3,5,5
57,aj9ADtjSjzQyBiMZkPURPdAHL6D3,4,4
66,eEsYDhcn2YgMdJUE8dXGFd46GXu1,7,5
75,G3aWfKxMlRRDhRBvb4t32M1YpSh2,15,5
77,2B2rcFVbDfXsUFsJ54jGw2AZsun2,15,4
78,oHhXmA4hFYQaJ72WlM7HotOR4Ta2,15,4
81,08mYp3WwfcdL4RtL1CdKL3FBPH83,15,5
84,bDbeB06z07ghWlpzj39Q1MAn8Vu2,13,5
86,gF6SqGy27GZD8oD7roufzWYRCJm1,13,5
87,ZpOl8fB6kMUYgADc1dpTBnb0uK73,13,5
92,X6L0FuSIoQecLaYAqmssQt1RBbz1,13,4
94,WC0Hp79cq7W5ELRa4LetOwnGDWc2,14,3
104,itk9QhYMOWQJOdKpJcmrzcAXvmP2,14,4
105,1CAwkpl31MYYvntQerw1MH15m3f2,14,4
106,ShqXTlUnDGfaoE9I2ZrjltGSU5p1,14,3
108,ald4v9Rmhqg4d0Redwq5KgQuRfE2,14,5
110,JBHxxpVmLDeraFSTaGCagbju9Dy1,14,1
111,szUycxmwICMki3sqilhjWcBd0rv1,14,5
115,YJeQjFJyUpXw94dIt3cOI1MGPWM2,18,5
122,B6SzWsY5jmb9gMVvDqgAFTEOd9j1,18,5
123,xwHMBdm7NKSiKyPGErk5umUJRnG2,18,5
124,FlqAFdqssVdUxg4HZIq33LsqdMK2,18,5
126,db1zr4naNGSCvA31IaATvRx75WU2,18,4
128,irILnYcFiVccg7LNkTYXnsCvYu63,18,3
129,pCyvQyFzIudUXgmkwZ5RAOZZzYB3,18,5
134,9E7KOvVatof9gbN58Zu6CQd49X43,19,4
135,ShqXTlUnDGfaoE9I2ZrjltGSU5p1,19,5
137,08mYp3WwfcdL4RtL1CdKL3FBPH83,19,5
138,X3arDh0tonRpkuJFpMULdZ9XIEn1,19,5
139,ibcHvTHK1hUMgaAKxvrW15b0YMp2,19,5
140,pCyvQyFzIudUXgmkwZ5RAOZZzYB3,19,5
141,tg7ij2106aUxKFjscvuHD3lT9Bz2,19,5
142,TIeVHCel1SXEvRhz7YBq44NDbcL2,19,4
143,3wijrqrX3wMVbLXWJ47fFDJTOac2,19,4
144,VURvllrc4QYAaYIGrZ3uEFLrmmo1,19,3
146,Ylzx2NpHq9YNmlJHrHohETSTFdZ2,20,4
147,aodeY7o0jcYZTCm3TwLHxQYK49t1,20,4
148,y177OaIch4cbMAB2ySoxnNE70Dm2,20,5
150,TLoCzGW4D1gmThgNWthBDd26Uii1,20,5
154,7uR4G8Mkz6e6gFZYfiIJiIfedbs1,20,4
158,dE4faALm3Kf7SDzQ6KElDFN1wDG3,20,5
161,wO6GF8BciePRYUQ47HC02udTdrx1,21,5
163,YJeQjFJyUpXw94dIt3cOI1MGPWM2,21,5
165,r98gQKb35aTAyVP5nEnaxGNimgh2,21,4
171,1CAwkpl31MYYvntQerw1MH15m3f2,21,3
172,T1DfrVYM5ragZ2WccnITw4L2jKu1,21,4
175,Kvm7nGWuofNcMDIt6ErADD3n2JN2,21,5
179,1Qw28Nr71dfoCrYDRZvRpptRwvy2,22,5
181,E4FiZfDx6Yh4OQIqHaRZnzMbsch2,22,5
188,B3NTEl0esOOwjeFgQ5odqOLf8Ui2,22,3
191,jmfZeQrY88W6j6SgY4rqzeBr6BD2,22,4
193,mbC1200FuSgGyXQHYpISXuQvixi2,22,1
194,JzozPlyAhyYAJstAJSESFPEyMtx1,23,5
291,YJefkr7QVNUURonX3Px9Hs7YIhq1,30,5
199,wlFj2umSxMOudUw3I6fGU0jgysl1,23,4
200,YlBLJdO7ugZgaOAE75TnJ8du3Ky1,23,5
201,CxQpsUVUhkOLTgDrNqfQfYRUF1a2,23,3
202,9dh6XXy7CAVIeyWkpgy1kZu0fVv1,23,1
204,D8JJXJXH4dcxi39T7uG4otrJS9o1,23,4
206,RlY9bo3cTKbNFqd4AtOZPDqReNm1,23,3
207,AHPq3jQwbwcSBYd1mMhF18b0SOW2,23,5
208,jt1uw1iVTqRAhzErqtpnT88FWhM2,23,3
209,YGI9gIVPzHTN2aMlst3GlNwQFu22,23,4
211,rEWqJYa9f3V41HP7DDdd87uddQ03,23,3
214,6hL9jzZoJOWarVMU2JCQApEkd1C3,24,5
216,OE9peH4NXxY5jPhFwNZlLR5FJ7V2,24,2
217,zxvchOJUsNcvQYqfiX4HnbDrZZf1,24,5
219,KowMuOg1g3UHzUagKTKLYRqWCaU2,24,5
224,d8p6hvwlDVWaFKmaC2OzZBGRyoN2,24,3
227,96gEKSPFDfXrOzokPoFsSt0TQzi1,24,5
228,NwTGkVMsXjUOrTuVConAIzOz5ou2,24,4
240,kSsB03DXQ1aplspKD8GNPe6WfOI3,29,4
241,oiGb0917oGhHx4mrGdd4BbL9t332,29,5
242,oeanBuzsSRctUcoqxR4obFAnWYw1,29,4
243,SGjEPiOfupaJ6lQPpSNprbIMXVE3,29,5
294,yH95c1I2UpXnUcbxgCqRBYv06HG2,30,3
245,OqlG5d08ERbxhD4Kcj9rMZdF0rB3,29,4
247,kRqzi4ETFbf2XL2I8eug6X3FCyG2,25,4
250,2tXULOvgfRUX0NY9k9Q78KbN2zg1,25,5
251,1vdFZhHTo7agp4JUTsxt65aeap23,25,4
254,wnJf8vJVx2XjG1JV5E12uWHb0c03,25,4
257,Trhkl7RTnBZLaTuDf1KhPleCScz1,25,3
260,Fgmcy2HTx7Of8NlEsDHWiD0fzZW2,25,5
261,DwdbXLxXLVd2H30ajtZjQTm5qRw1,25,4
262,ykdGhZsMI4N03O5WqkpI5OtPbRz1,25,4
263,srs2JWCXCPTtDFVvm3jHkgOxLbs2,25,3
