id,max_age_men,max_age_women,min_age_men,min_age_women
4,34,32,26,24
5,34,32,26,24
13,49,47,36,34
15,39,37,31,29
32,40,37,30,27
14,34,32,26,24
7,34,32,26,24
26,41,39,31,29
23,41,39,31,29
9,39,37,31,29
11,34,32,26,24
39,36,34,24,22
35,41,39,31,29
30,41,39,31,29
36,34,32,24,22
19,35,33,24,22
20,49,49,30,30
8,34,32,26,24
21,34,32,26,24
27,36,34,26,24
28,41,39,31,29
18,34,32,26,24
24,39,37,29,27
34,34,32,24,22
22,39,39,29,29
25,36,34,26,24
29,40,37,30,27
33,41,39,31,29
31,32,32,22,22
38,36,34,26,24
