id,category,subcategory,preamble,prompt,image_prompt_url,response_type,multiple_choice_responses,correct_answer,misc,is_hidden
102,Identity,Ethnicity,,What's your ethnicity?,,multiple_choice,"[ ""American Indian"", ""East Asian"", ""Middle Eastern"", ""South Asian"", ""Black"", ""Hispanic/Latino"", ""Pacific Islander"", ""White"", ""Other"" ]",,,
10,Personality,Reflection,To what degree does the following phrase describe your personality?,Enjoy the beauty of nature.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""AB5C"", ""alpha"": 0.75, ""key"": 1}",true
21,Personality,Emotional Stability,To what degree does the following phrase describe your personality?,Feel comfortable with myself.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""16PF"", ""alpha"": 0.85, ""key"": -1, ""big_5"": ""Neuroticism""}",
103,Identity,Ethnicity,,How important is it that your romantic partner shares your ethnicity?,,multiple_choice,"[ ""Not Important"", ""Somewhat Important"", ""Very Important"" ]",,,
31,Personality,Anxiety,To what degree does the following phrase describe your personality?,Feel threatened easily.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""16PF"", ""alpha"": 0.8, ""key"": 1}",true
35,Personality,Resourcefulness,To what degree does the following phrase describe your personality?,Like to solve complex problems.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""6FPQ"", ""alpha"": 0.81, ""key"": 1}",true
30,Personality,Empathy,To what degree does the following phrase describe your personality?,Love to reflect on things.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""AB5C"", ""alpha"": 0.7, ""key"": 1, ""big_5"": ""Openness""}",
47,Personality,Positive Expressivity,To what degree does the following phrase describe your personality?,Avoid imposing my will on others.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""BFAS"", ""alpha"": 0.75, ""key"": 1, ""big_5"": ""Agreeableness""}",
49,Personality,Assertiveness,To what degree does the following phrase describe your personality?,Wait for others to lead the way.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""16PF"", ""alpha"": 0.81, ""key"": -1, ""big_5"": ""Extraversion""}",
36,Personality,Impulse-Control,To what degree does the following phrase describe your personality?,Keep my emotions under control.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""AB5C"", ""alpha"": 0.78, ""key"": -1, ""big_5"": ""Neuroticism""}",
48,Personality,Orderliness,To what degree does the following phrase describe your personality?,Am not bothered by messy people.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""16PF"", ""alpha"": 0.81, ""key"": -1, ""big_5"": ""Conscientiousness""}",
43,Personality,Efficiency,To what degree does the following phrase describe your personality?,Finish what I start.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""AB5C"", ""alpha"": 0.83, ""key"": 1, ""big_5"": ""Conscientiousness""}",
37,Personality,Agreeableness,To what degree does the following phrase describe your personality?,Take advantage of others.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""7FACTOR"", ""alpha"": 0.77, ""key"": -1, ""big_5"": ""Agreeableness""}",
38,Personality,Orderliness,To what degree does the following phrase describe your personality?,Follow a schedule.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""AB5C"", ""alpha"": 0.78, ""key"": 1, ""big_5"": ""Conscientiousness""}",
41,Personality,Anxiety,To what degree does the following phrase describe your personality?,Rarely feel depressed.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""BFAS"", ""alpha"": 0.84, ""key"": -1, ""big_5"": ""Neuroticism""}",
56,Personality,Calmness,To what degree does the following phrase describe your personality?,Rarely lose my composure.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""6FPQ"", ""alpha"": 0.87, ""key"": 1}",true
68,Personality,Orderliness,To what degree does the following phrase describe your personality?,Am not bothered by disorder.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""16PF"", ""alpha"": 0.81, ""key"": -1, ""big_5"": ""Conscientiousness""}",
53,Personality,Conscientiousness,To what degree does the following phrase describe your personality?,Don't put my mind on the task at hand.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""NEO5-20"", ""alpha"": 0.9, ""key"": -1, ""big_5"": ""Conscientiousness""}",
70,Personality,Imagination,To what degree does the following phrase describe your personality?,Need a creative outlet.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""AB5C"", ""alpha"": 0.78, ""key"": 1, ""big_5"": ""Openness""}",
64,Personality,Vitality/Enthusiasm/Zest,To what degree does the following phrase describe your personality?,Am not a very enthusiastic person.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""BFAS"", ""alpha"": 0.81, ""key"": -1, ""big_5"": ""Extraversion""}",
67,Personality,Agreeableness,To what degree does the following phrase describe your personality?,Insult people.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""7FACTOR"", ""alpha"": 0.77, ""key"": -1, ""big_5"": ""Agreeableness""}",
66,Personality,Anger,To what degree does the following phrase describe your personality?,Am a person whose moods go up and down easily.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""BFAS"", ""alpha"": 0.89, ""key"": 1, ""big_5"": ""Neuroticism""}",
51,Personality,Anxiety,To what degree does the following phrase describe your personality?,Worry about things.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""16PF"", ""alpha"": 0.8, ""key"": 1, ""big_5"": ""Neuroticism""}",
58,Personality,Orderliness,To what degree does the following phrase describe your personality?,"Want everything to be ""just right.""",,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""16PF"", ""alpha"": 0.81, ""key"": 1, ""big_5"": ""Conscientiousness""}",
72,Personality,Warmth,To what degree does the following phrase describe your personality?,Take an interest in other people's lives.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""16PF"", ""alpha"": 0.8, ""key"": 1, ""big_5"": ""Agreeableness""}",
75,Personality,Intellect,To what degree does the following phrase describe your personality?,Think quickly.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""BFAS"", ""alpha"": 0.84, ""key"": 1, ""big_5"": ""Openness""}",
73,Personality,Industriousness/Perseverance/Persistence,To what degree does the following phrase describe your personality?,Always know what I am doing.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""BFAS"", ""alpha"": 0.81, ""key"": 1, ""big_5"": ""Conscientiousness""}",
101,Physical,Height,,How tall are you?,,number,,,,
90,Personality,Imagination,To what degree does the following phrase describe your personality?,Seldom daydream.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""16PF"", ""alpha"": 0.8, ""key"": -1}",true
99,Personality,Assertiveness,To what degree does the following phrase describe your personality?,Do not have an assertive personality.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""BFAS"", ""alpha"": 0.85, ""key"": -1, ""big_5"": ""Extraversion""}",
92,Personality,Sympathy,To what degree does the following phrase describe your personality?,Like to do things for others.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""AB5C"", ""alpha"": 0.74, ""key"": 1, ""big_5"": ""Agreeableness""}",
78,Personality,Orderliness,To what degree does the following phrase describe your personality?,Dislike routine.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""AB5C"", ""alpha"": 0.78, ""key"": -1, ""big_5"": ""Conscientiousness""}",
97,Personality,Positive Expressivity,To what degree does the following phrase describe your personality?,Am out for my own personal gain.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""BFAS"", ""alpha"": 0.75, ""key"": -1, ""big_5"": ""Agreeableness""}",
77,Personality,Cooperation,To what degree does the following phrase describe your personality?,Seek conflict.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""AB5C"", ""alpha"": 0.73, ""key"": -1, ""big_5"": ""Agreeableness""}",
95,Personality,Intellect,To what degree does the following phrase describe your personality?,Formulate ideas clearly.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""BFAS"", ""alpha"": 0.84, ""key"": 1, ""big_5"": ""Openness""}",
76,Personality,Emotionality,To what degree does the following phrase describe your personality?,Am not easily annoyed.,,multiple_choice,"[ ""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree"" ]",,"{ ""instrument"": ""16PF"", ""alpha"": 0.76, ""key"": -1, ""big_5"": ""Neuroticism""}",
