id,gender,attracted_to,seeking
D4JhcQ5BHzQJAfiXtnpJ2COAyXk1,male,women,
fMpKMi82khZDu8t2FkvTs7KjKvv2,,,
yhRM2Wo33UhK8D6KdPKR8XJEAR43,,,
Im90nvm1hSc0csch6dHDcRVcwXZ2,male,women,
ykdGhZsMI4N03O5WqkpI5OtPbRz1,male,women,
AAEh6NX4qSVJYtH14MJvjjATw4L2,male,women,
kTq0s7JFaZgHwDiJ0VQ3emNu5q23,female,men,
HeF5vMSJt5P35cN9LGdeGWa8qL53,female,men,
D8JJXJXH4dcxi39T7uG4otrJS9o1,female,men,
lB0k96IXMbgNAVrxynCgmC2PiKk2,male,women,
cVNVKmJ1YcTnMvQCIvDtwxKfdPn1,male,women,marriage
5eIBuUMYf4VXKtnL4PBUCKnT3022,male,everyone,
WFGU8Pg4AnXtuBQNHjuN1moboad2,male,women,
MS21Jmdo6lMdm0E6EuSDAl6O7fw1,male,women,
irILnYcFiVccg7LNkTYXnsCvYu63,male,women,relationship
aodeY7o0jcYZTCm3TwLHxQYK49t1,male,women,
x8nVjqPw0FfIq3ifMyTZ0IF9P0m1,female,men,
25k2PvALP1gBuOI2hV4mAvWv4gf2,female,men,
8u6VD04PnwQ0Ob1LioUBcSW9bIr1,female,men,
jKONCPvgKbarBf0sHXFa6vkHpJr2,female,men,
0IEcaKRjwJbV4BnhKRIEOET1ADZ2,male,women,
9LLztOjmOibvSylvT3B6yJZTYvk1,male,women,
8U5TXdYhdrRbuINoW0g6MjBUBY83,male,women,
2BpuailH9MdGmoDKfRFhKtLxXsc2,male,women,
zsiYN3gTfSO9yUmaGl4BUshhcwv1,male,women,
3MVFDCNqEUTZKFCds3ZfKkLeRvj2,male,women,
5gJAQSOS1bcN5njS8blwjUEIoEs2,female,men,relationship
M7m7HBaKxEXsOIFeRjd8RAiHeFq2,male,women,
XHngNmu0JsUhuoIaaPGSC8Cc8Oj2,male,women,
HkUztm60nDWkJ21JNrhIMQydvxB3,male,women,something casual
H1M7mY7KlEc8MgXoFLvzXcw4R8o1,male,women,
Z80v2yqCjINQp3otCX8LIyt9B702,female,men,relationship
tePmBLWN30Peb6o2piL8ylSvK7R2,female,men,
lyrcsUt2tRND251UMRUwBydShgi2,male,women,
GBqaZgZHMKRJBYn7wukrugLjPHA3,female,men,
8MllbjfErPcV1qHzukrXK51E5MZ2,male,women,
MIG7qurDYBMSIsR8tWs4zvI14Y53,male,women,
30LN0uatVpayd7AXnOG9YoPAEBK2,female,men,
tbPqHf8AEjd8bIzuu0NPBxSV2322,female,men,
mwq14jqCO2VYSdanlR0BEoi3kjG3,male,women,relationship
37su6r3nrJRNzonhEAE5FN6kVj52,male,women,something casual
YTufbZUVJhNUem0Ru0skZD6LEf62,male,women,
ZOMydt9IiLYIPbsqWJj3jxUyGcD3,female,men,
